spp,stockid,year,overfished,overfishing
macruronus novaezelandiae,bgrdrnswwa,2015,FALSE,FALSE
macruronus novaezelandiae,bgrdrnswwa,2016,FALSE,FALSE
macruronus novaezelandiae,bgrdrnswwa,2017,FALSE,FALSE
macruronus novaezelandiae,hokienz,2015,FALSE,FALSE
macruronus novaezelandiae,hokiwnz,2015,FALSE,FALSE
mallotus villosus,capeiia-v-xiv,2016,FALSE,NA
mallotus villosus,capeiia-v-xiv,2017,FALSE,NA
melanogrammus aeglefinus,had5y,2015,FALSE,FALSE
melanogrammus aeglefinus,had5y,2016,FALSE,FALSE
melanogrammus aeglefinus,hadfapl,2015,TRUE,TRUE
melanogrammus aeglefinus,hadfapl,2016,TRUE,TRUE
melanogrammus aeglefinus,hadfapl,2017,TRUE,TRUE
melanogrammus aeglefinus,hadgb,2015,FALSE,FALSE
melanogrammus aeglefinus,hadgb,2016,FALSE,FALSE
melanogrammus aeglefinus,hadice,2015,FALSE,FALSE
melanogrammus aeglefinus,hadice,2016,FALSE,FALSE
melanogrammus aeglefinus,hadice,2017,FALSE,TRUE
melanogrammus aeglefinus,hadis,2015,FALSE,FALSE
melanogrammus aeglefinus,hadis,2016,FALSE,FALSE
melanogrammus aeglefinus,hadis,2017,FALSE,FALSE
melanogrammus aeglefinus,hadnear,2015,FALSE,FALSE
melanogrammus aeglefinus,hadnear,2016,FALSE,FALSE
melanogrammus aeglefinus,hadnear,2017,FALSE,TRUE
melanogrammus aeglefinus,hadns-iiia-via,2015,FALSE,TRUE
melanogrammus aeglefinus,hadns-iiia-via,2016,TRUE,TRUE
melanogrammus aeglefinus,hadns-iiia-via,2017,FALSE,TRUE
melanogrammus aeglefinus,hadrock,2015,FALSE,TRUE
melanogrammus aeglefinus,hadrock,2016,FALSE,FALSE
melanogrammus aeglefinus,hadrock,2017,FALSE,TRUE
melanogrammus aeglefinus,hadviib-k,2015,FALSE,TRUE
melanogrammus aeglefinus,hadviib-k,2016,FALSE,TRUE
melanogrammus aeglefinus,hadviib-k,2017,FALSE,TRUE
merlangius merlangus,whitns-viid,2015,TRUE,TRUE
merlangius merlangus,whitns-viid,2016,FALSE,TRUE
merlangius merlangus,whitns-viid,2017,FALSE,TRUE
merlangius merlangus,whitvia,2015,TRUE,FALSE
merlangius merlangus,whitvia,2016,TRUE,FALSE
merlangius merlangus,whitvia,2017,TRUE,FALSE
merlangius merlangus,whitviia,2015,TRUE,TRUE
merlangius merlangus,whitviia,2016,TRUE,TRUE
