project,country,site,latitude,longitude,sample_date,biomass_kgha_avg
Tanzania CRCP surveys,Tanzania,Chumbe 1(house),-6.27928,39.17436,2015-09-05,412.37
Tanzania CRCP surveys,Tanzania,Chumbe 2 (rock),-6.276986111,39.17425833,1997-12-06,709.5
Tanzania CRCP surveys,Tanzania,Chumbe 2 (rock),-6.276986111,39.17425833,2005-04-24,526.31
Tanzania CRCP surveys,Tanzania,Chumbe 2 (rock),-6.276986111,39.17425833,2012-11-17,320.2
Tanzania CRCP surveys,Tanzania,Chumbe 2 (rock),-6.276986111,39.17425833,2015-09-06,425.93
Tanzania CRCP surveys,Tanzania,Chundo,-4.9027,39.28679,2018-10-16,382.89
Tanzania CRCP surveys,Tanzania,Chundo 2,-4.91238,39.28746,2018-10-17,180.64
Tanzania CRCP surveys,Tanzania,Coral Mountain,-5.23828,39.59589,2018-10-09,520.12
Tanzania CRCP surveys,Tanzania,Dambwe East,-5.64383,39.00757,2015-09-18,260.19
Tanzania CRCP surveys,Tanzania,Dambwe East,-5.64383,39.00757,2016-10-06,553.21
Tanzania CRCP surveys,Tanzania,Dambwe leeward,-5.64402,39.00057,2010-11-10,436.27
Tanzania CRCP surveys,Tanzania,Dambwe West,-5.64102,39.00128,2015-09-18,200.15
Tanzania CRCP surveys,Tanzania,Dambwe West,-5.64102,39.00128,2016-10-06,248.09
Tanzania CRCP surveys,Tanzania,Dambwe windward,-5.6451,39.006,2010-11-10,227.92
Tanzania CRCP surveys,Tanzania,Devil's Wall,-5.23,39.597,2013-10-06,718.12
Tanzania CRCP surveys,Tanzania,Dory's reef,-5.79526,39.38551,2018-10-02,475.6
Tanzania CRCP surveys,Tanzania,Dory's reef 2,-5.79293,39.38774,2018-10-03,304.82
Tanzania CRCP surveys,Tanzania,Fuguni,-5.26773,39.12693,1996-04-20,276.2
Tanzania CRCP surveys,Tanzania,Fuguni,-5.26773,39.12693,2004-01-07,641.79
Tanzania CRCP surveys,Tanzania,Fuguni,-5.26773,39.12693,2010-11-06,901.48
Tanzania CRCP surveys,Tanzania,Fuguni,-5.26773,39.12693,2015-09-14,192.74
Tanzania CRCP surveys,Tanzania,Fuguni,-5.26773,39.12693,2016-10-04,341.09
Tanzania CRCP surveys,Tanzania,FundoChannel,-5.0693,39.6553,2013-10-02,369.94
Tanzania CRCP surveys,Tanzania,FundoOuter,-5.0693,39.6553,2013-10-02,295.7
Tanzania CRCP surveys,Tanzania,House reef,-5.82416,39.38208,2018-10-04,472.87
Tanzania CRCP surveys,Tanzania,House reef 2,-5.82416,39.38208,2018-10-05,290.81
Tanzania CRCP surveys,Tanzania,House reef 3,-5.82416,39.38208,2018-10-06,235.63
Tanzania CRCP surveys,Tanzania,Jewe1,-8.65335,39.45437,2011-09-20,374.25
Tanzania CRCP surveys,Tanzania,Jewe3,-8.6348,39.4882,2011-09-22,614.94
Tanzania CRCP surveys,Tanzania,KasaBoma,-4.84947,39.21726,2018-10-17,274.35
Tanzania CRCP surveys,Tanzania,Kieti,-10.34,40.374,2008-04-05,200.75
Tanzania CRCP surveys,Tanzania,Kipwamkandini,-4.841939975,39.24017399,2018-10-15,224.63
Tanzania CRCP surveys,Tanzania,Kitutia 1,-8.066278798758319,39.59345355021367,2007-04-20,662.13
Tanzania CRCP surveys,Tanzania,Kitutia 2,-8.063047838247755,39.594908659389176,2007-04-21,1295.15
Tanzania CRCP surveys,Tanzania,Kokota,-5.1503,39.63075,2013-10-03,388.55
Tanzania CRCP surveys,Tanzania,Kwata,-5.3782,39.56608,2018-10-08,241.05
Tanzania CRCP surveys,Tanzania,Kwata 2,-5.35805,39.58064,2018-10-10,255.79
Tanzania CRCP surveys,Tanzania,Kwata 3,-5.35805,39.58064,2018-10-10,202.93
Tanzania CRCP surveys,Tanzania,Makome,-5.27985,39.11589,1996-04-20,99.8
Tanzania CRCP surveys,Tanzania,Makome,-5.27985,39.11589,2004-01-07,299.49
