project,country,site,latitude,longitude,sample_date,hard_coral_pit,soft_coral_pit
Gili Matra MPA_2019,Indonesia,Teluk Medane,-8.35713,116.12388889,2019-11-27,29,0
Gili Matra MPA_2019,Indonesia,Trawangan Slope,-8.35077,116.025,2019-08-26,25.67,1.5
Gili Matra MPA_2019,Indonesia,Ujung Sire,-8.36065,116.09666667,2019-08-25,13.33,2.33
"Sulat Lawang 2013, 2017",Indonesia,Batu Mandi,-8.30411,116.71231,2017-11-16,37.33,2.83
"Sulat Lawang 2013, 2017",Indonesia,Gili Bidara,-8.43886,116.73894,2017-11-20,74,9.83
"Sulat Lawang 2013, 2017",Indonesia,Gili Kondo,-8.44114,116.73247,2017-11-20,71.33,3.17
"Sulat Lawang 2013, 2017",Indonesia,Gili Lawang Barat,-8.29561,116.6855,2017-11-18,60.17,0.33
"Sulat Lawang 2013, 2017",Indonesia,Gili Lawang Utara 1,-8.29561,116.70919,2017-11-18,24.33,1.17
"Sulat Lawang 2013, 2017",Indonesia,Gili Lawang Utara 2,-8.28192,116.69611,2017-11-18,46.67,8.83
"Sulat Lawang 2013, 2017",Indonesia,Gili Petagan,-8.43483,116.75606,2017-11-20,51.33,11.5
"Sulat Lawang 2013, 2017",Indonesia,Gili Sulat Barat,-8.30997,116.71219,2017-11-16,28.5,3.17
"Sulat Lawang 2013, 2017",Indonesia,Gili Sulat Selatan,-8.32964,116.71339,2017-11-15,39.5,4
"Sulat Lawang 2013, 2017",Indonesia,Gili Sulat Tenggara,-8.34578,116.74472,2017-11-19,38.83,15
"Sulat Lawang 2013, 2017",Indonesia,Gili Sulat Timur,-8.32036,116.72889,2017-11-19,17.67,3
"Sulat Lawang 2013, 2017",Indonesia,Pekaja Gili Lawang,-8.31053,116.70408,2017-11-16,70,0
"Sulat Lawang 2013, 2017",Indonesia,Tekalok Timur,-8.33592,116.70244,2017-11-15,30.5,1.33
Madagascar Southwest Soariake 2019,Madagascar,Andra_06,-22.48288,43.2364,2019-05-14,1.5,74.5
Madagascar Southwest Soariake 2019,Madagascar,Andravona_08,-22.469360000000002,43.23638,2019-05-10,9.5,55
Madagascar Southwest Soariake 2019,Madagascar,Andravona_12,-22.4011,43.23909,2019-05-10,44,42
Madagascar Southwest Soariake 2019,Madagascar,Andre_07,-22.44588,43.23796,2019-05-10,8.5,74.5
Madagascar Southwest Soariake 2019,Madagascar,Anka_01,-22.6229,43.2573,2019-05-12,41.5,12
Madagascar Southwest Soariake 2019,Madagascar,Antsa_09,-22.78652,43.33463,2019-05-11,6,5.5
Madagascar Southwest Soariake 2019,Madagascar,Beko_03,-22.52076,43.24406,2019-05-14,36,14.5
Madagascar Southwest Soariake 2019,Madagascar,Belo_04,-22.51787,43.24644,2019-05-14,50.5,1.5
Madagascar Southwest Soariake 2019,Madagascar,Sal_N1_11,-22.60613,43.25129,2019-05-11,25.5,15
Madagascar Southwest Soariake 2019,Madagascar,Sal_N2_02,-22.65238,43.27366,2019-05-12,33.75,23.13
Madagascar Southwest Soariake 2019,Madagascar,Sal_N2_05,-22.53797,43.243,2019-05-13,19.5,3
Madagascar Southwest Soariake 2019,Madagascar,Sal_N2_13,-22.55948,43.22846,2019-05-13,3.5,33
Madagascar Southwest Soariake 2019,Madagascar,Tsand_10,-22.73958,43.31625,2019-05-11,45,5
