worms_sciname,am_sciname,am_sid,iucn_sid
mopalia muscosa,mopalia muscosa,W-Msc-386353,NA
mopalia spectabilis,mopalia spectabilis,W-Msc-386360,NA
placiphorella velata,placiphorella velata,W-Msc-386377,NA
calliodentalium callipeplum,calliodentalium callipeplum,W-Msc-344490,NA
antalis agilis,antalis agilis,W-Msc-196374,NA
antalis bartletti,antalis bartletti,W-Msc-344427,NA
antalis cerata,antalis cerata,W-Msc-344431,NA
antalis circumcincta,antalis circumcincta,W-Msc-344432,NA
antalis novemcostata,antalis novemcostata,W-Msc-196381,NA
antalis pilsbryi,antalis pilsbryi,W-Msc-344444,NA
antalis vulgaris,antalis vulgaris,W-Msc-196380,NA
dentalium agassizi,dentalium agassizi,W-Msc-344129,NA
compressidentalium clathratum,compressidentalium clathratum,W-Msc-344494,NA
laevidentalium erectum,laevidentalium erectum,W-Msc-344233,NA
paradentalium gouldii,dentalium gouldii,SLB-80309,NA
dentalium laqueatum,dentalium laqueatum,W-Msc-344159,NA
dentalium neohexagonum,dentalium neohexagonum,W-Msc-344168,NA
plagioglypta pertracheata,plagioglypta pertracheata,W-Msc-344539,NA
paradentalium americanum,dentalium texasianum,SLB-80322,NA
dentalium vallicolens,dentalium vallicolens,W-Msc-344183,NA
fissidentalium candidum,fissidentalium candidum,W-Msc-139535,NA
fissidentalium capillosum,fissidentalium capillosum,W-Msc-139536,NA
coccodentalium carduus,fissidentalium carduus,SLB-80328,NA
fissidentalium megathyris,fissidentalium megathyris,W-Msc-344207,NA
graptacme calamus,graptacme calamus,W-Msc-344507,NA
graptacme eborea,graptacme eborea,W-Msc-344508,NA
graptacme perlonga,graptacme perlonga,W-Msc-344515,NA
graptacme semistriolata,graptacme semistriolata,W-Msc-421012,NA
fustiaria liodon,fustiaria liodon,W-Msc-344261,NA
episiphon sowerbyi,episiphon sowerbyi,W-Msc-344408,NA
rhabdus rectius,rhabdus dalli,SLB-80351,NA
rhabdus rectius,rhabdus rectius,W-Msc-344596,NA
bathoxiphus ensiculus,bathoxiphus ensiculus,W-Msc-139690,NA
heteroschismoides subterfissus,heteroschismoides subterfissus,W-Msc-344255,NA
cadulus californicus,cadulus californicus,W-Msc-344271,NA
cadulus cylindratus,cadulus cylindratus,W-Msc-140002,NA
cadulus parvus,cadulus parvus,W-Msc-344291,NA
cadulus platensis,cadulus platensis,W-Msc-344293,NA
cadulus transitorius,cadulus transitorius,W-Msc-344305,NA
cadulus tumidosus,cadulus tumidosus,W-Msc-140011,NA
gadila mayori,gadila mayori,W-Msc-344353,NA
polyschides carolinensis,polyschides carolinensis,W-Msc-344463,NA
polyschides grandis,polyschides grandis,W-Msc-344469,NA
polyschides miamiensis,polyschides miamiensis,W-Msc-344471,NA
polyschides spectabilis,polyschides spectabilis,W-Msc-344479,NA
polyschides tetrodon,polyschides tetrodon,W-Msc-344482,NA
siphonodentalium lobatum,siphonodentalium lobatum,W-Msc-140015,NA
cadulus occiduus,cadulus occidus,SLB-80431,NA
pulsellum lofotense,pulsellum lofotense,W-Msc-140893,NA
pulsellum occidentale,pulsellum occidentale,W-Msc-344420,NA
pulsellum salishorum,pulsellum salishorum,W-Msc-344422,NA
podocerus brasiliensis,podocerus brasiliensis,W-Amp-214744,NA
podocerus kleidus,podocerus kleidus,W-Amp-421585,NA
bathyporeia pilosa,bathyporeia pilosa,W-Amp-103068,NA
monoporeia affinis,monoporeia affinis,W-Amp-103077,NA
eupronoe laticarpa,eupronoe laticarpa,W-Amp-421615,NA
eupronoe maculata,eupronoe maculata,W-Amp-236627,NA
paralycaea gracilis,paralycaea gracilis,W-Amp-103276,NA
parapronoe crustulum,parapronoe crustulum,W-Amp-421616,NA
pronoe capito,pronoe capito,W-Amp-421617,NA
scina borealis,scina borealis,W-Amp-103278,NA
scina crassicornis,scina crassicornis,W-Amp-103279,NA
scina curvidactyla,scina curvidactyla,W-Amp-421598,NA
scina marginata,scina marginata,W-Amp-103281,NA
scina nana,scina nana,W-Amp-325398,NA
scina submarginata,scina submarginata,W-Amp-103285,NA
scina tullbergi,scina tullbergi,W-Amp-103286,NA
scina vosseleri,scina vosseleri,W-Amp-416582,NA
parametopella cypris,parametopella cypris,W-Amp-158130,NA
parametopella texensis,parametopella texensis,W-Amp-421538,NA
stenothoe gallensis,stenothoe gallensis,W-Amp-103163,NA
stenothoe georgiana,stenothoe georgiana,W-Amp-421539,NA
terschellingia longicaudata,terschellingia longicaudata,ITS-60075,NA
alexandrella dentata,alexandrella dentata,W-Amp-237178,NA
metatiron tropakis,metatiron tropakis,W-Amp-421542,NA
synopia ultramarina,synopia ultramarina,W-Amp-211240,NA
carinoma mutabilis,carinoma mutabilis,W-Nem-146917,NA
cephalothrix rufifrons,cephalothrix rufifrons,W-Nem-122599,NA
tubulanus pellucidus,tubulanus pellucidus,W-Nem-147240,NA
tubulanus polymorphus,tubulanus polymorphus,W-Nem-122637,NA
quasitetrastemma nigrifrons,tetrastemma nigrifrons,SLB-83781,NA
speziorchestia grillus,orchestia grillus,W-Amp-158123,NA
platorchestia platensis,platorchestia platensis,W-Amp-103217,NA
