species,gf_level,depth_pc1,depth_pc2,log_l,mob_score,repr_pc1,repr_pc2,troph,troph_se,k_group,p_group
pteropurpura macroptera,2.7083333333333335,0.43517877743030897,-0.432499454140824,0.52822372923745875,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pteropurpura modesta,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.52822372923745875,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pteropurpura plorator,2.7083333333333335,0.43517877743030897,-0.432499454140824,0.52822372923745875,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pteropurpura sanctaehelenae,2.5833333333333335,0.43517877743030897,-0.432499454140824,0.4653828514484183,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pteropurpura stimpsoni,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.52822372923745875,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pteropurpura trialata,2.7083333333333335,0.43517877743030897,-0.432499454140824,0.52822372923745875,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pteropurpura vokesae,2.7083333333333335,0.43517877743030897,-0.432499454140824,0.52822372923745875,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pterorytis hamatus,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pterotyphis fimbriatus,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.5314789170422551,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pterotyphis pinnatus,2.5833333333333335,0.43517877743030897,-0.432499454140824,0.5314789170422551,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pterotyphis ryalli,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.5314789170422551,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pterynopsis meridionalis,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pterynopsis prosopeion,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pterynopsis subcontabulata,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pterynotus alatus,2.7083333333333335,0.43517877743030897,-0.432499454140824,0.7170100370247062,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pterynotus albobrunneus,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.7170100370247062,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pterynotus aparrii,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.7170100370247062,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pterynotus barclayanus,2.5833333333333335,0.43517877743030897,-0.432499454140824,0.47712125471966244,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pterynotus bibbeyi,2.5833333333333335,0.43517877743030897,-0.432499454140824,0.6532125137753437,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pterynotus bipinnatus,2.5833333333333335,0.43517877743030897,-0.432499454140824,0.6989700043360189,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pterynotus bouteti,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.7170100370247062,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pterynotus elaticus,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.7170100370247062,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pterynotus elongatus,2.5833333333333335,0.43517877743030897,-0.432499454140824,0.9542425094393249,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pterynotus laurae,2.7083333333333335,0.43517877743030897,-0.432499454140824,0.7170100370247062,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pterynotus martinetanus,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.7170100370247062,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pterynotus patagiatus,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.7170100370247062,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pterynotus pellucidus,2.5833333333333335,0.43517877743030897,-0.432499454140824,0.7403626894942439,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pterynotus tripterus,2.5833333333333335,0.43517877743030897,-0.432499454140824,0.7781512503836436,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
purpura bufo,2.7083333333333335,0.43517877743030897,-0.432499454140824,0.9771212547196624,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
purpura panama,2.5833333333333335,0.43517877743030897,-0.432499454140824,0.9542425094393249,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
purpura persica,2.5833333333333335,0.43517877743030897,-0.432499454140824,1,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
purpurellus cyclopterus,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
purpurellus gambiensis,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
purpurellus macleani,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
purpurellus pinniger,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pygmaepterys adenensis,2.7916666666666665,0.43517877743030897,-0.432499454140824,-0.008656197005306926,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pygmaepterys alfredensis,2.7916666666666665,0.43517877743030897,-0.432499454140824,-0.008656197005306926,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pygmaepterys aliceae,2.5833333333333335,0.43517877743030897,-0.432499454140824,0.04139268515822507,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pygmaepterys aturensis,2.7916666666666665,0.43517877743030897,-0.432499454140824,-0.008656197005306926,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pygmaepterys avatea,2.7916666666666665,0.43517877743030897,-0.432499454140824,-0.008656197005306926,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pygmaepterys bellini,2.7916666666666665,0.43517877743030897,-0.432499454140824,-0.008656197005306926,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
