parent,id,parent_level,name,rank
astrorhizida,111958,order,astrorhizidae,family
astrorhizida,737018,order,dendrophryidae,family
astrorhizida,737020,order,diffusilinidae,family
astrorhizida,414805,order,dryorhizopsidae,family
astrorhizida,414823,order,halyphysemidae,family
astrorhizida,465770,order,hemisphaeramminidae,family
astrorhizida,465771,order,hippocrepinellidae,family
astrorhizida,395126,order,notodendrodidae,family
astrorhizida,414878,order,rhabdamminidae,family
astrorhizida,465774,order,schizamminidae,family
astrorhizida,735847,order,silicotubidae,family
astrorhizida,737015,order,vanhoeffenellidae,family
astrorhizida,111960,order,baculellidae,family
astrorhizida,182837,order,komokiidae,family
astrorhizida,737021,order,normaninidae,family
astrorhizida,737022,order,rhizamminidae,family
astrorhizida,737387,order,ammovolummidae,family
astrorhizida,737386,order,botellinidae,family
astrorhizida,111964,order,hippocrepinidae,family
astrorhizida,737383,order,hyperamminidae,family
astrorhizida,557162,order,jugimuramminidae,family
astrorhizida,737261,order,lacustrinellidae,family
astrorhizida,414868,order,polysaccamminidae,family
astrorhizida,465773,order,psammosphaeridae,family
astrorhizida,557160,order,telamminidae,family
astrorhizida,737343,order,crithioninidae,family
astrorhizida,394018,order,saccamminidae,family
astrorhizida,737312,order,stegnamminidae,family
ateleopodiformes,125437,order,ateleopodidae,family
atheriniformes,125438,order,atherinidae,family
atheriniformes,266995,order,atherinopsidae,family
atheriniformes,266996,order,dentatherinidae,family
atheriniformes,397231,order,isonidae,family
atheriniformes,151839,order,melanotaeniidae,family
atheriniformes,151841,order,notocheiridae,family
atheriniformes,151845,order,phallostethidae,family
atheriniformes,266997,order,pseudomugilidae,family
atheriniformes,151842,order,telmatherinidae,family
atractophorales,1309280,order,atractophoraceae,family
aulacoseirales,148958,order,aulacoseiraceae,family
aulopiformes,125439,order,alepisauridae,family
aulopiformes,125440,order,anotopteridae,family
aulopiformes,125441,order,aulopidae,family
aulopiformes,266998,order,bathysauridae,family
aulopiformes,266999,order,bathysauroididae,family
aulopiformes,125442,order,chlorophthalmidae,family
aulopiformes,125443,order,evermannellidae,family
aulopiformes,151854,order,giganturidae,family
aulopiformes,125444,order,ipnopidae,family
aulopiformes,125445,order,notosudidae,family
aulopiformes,125446,order,omosudidae,family
aulopiformes,125447,order,paralepididae,family
aulopiformes,267001,order,paraulopidae,family
aulopiformes,151852,order,pseudotrichonotidae,family
aulopiformes,125448,order,scopelarchidae,family
aulopiformes,125449,order,synodontidae,family
auloporida,380372,order,auloporidae,family
auloporida,1458206,order,auloheliidae,family
auloporida,1458122,order,auloporidae,family
auloporida,1458072,order,fletcheriidae,family
auloporida,1458125,order,pyrgiidae,family
auloporida,1458071,order,romingeriidae,family
auloporida,1458117,order,trachypsammidae,family
aurearenales,590474,order,aurearenaceae,family
axinellida,131629,order,axinellidae,family
axinellida,165967,order,heteroxyidae,family
axinellida,131642,order,raspailiidae,family
axinellida,607948,order,stelligeridae,family
bacillariales,149002,order,bacillariaceae,family
bacillariales,599591,order,bacillariales incertae sedis,family
baerida,164162,order,baeriidae,family
baerida,164175,order,lepidoleuconidae,family
baerida,164642,order,petrobionidae,family
baerida,164178,order,trichogypsiidae,family
balbianiales,NA,order,NA,NA
balliales,368711,order,balliaceae,family
bangiales,143664,order,bangiaceae,family
bathynellacea,1039066,order,bathynellidae,family
bathyteuthida,11745,order,bathyteuthidae,family
bathyteuthida,23004,order,chtenopterygidae,family
batrachoidiformes,125450,order,batrachoididae,family
batrachospermales,493875,order,batrachospermaceae,family
batrachospermales,368712,order,lemaneaceae,family
beloniformes,151863,order,adrianichthyidae,family
beloniformes,125451,order,belonidae,family
beloniformes,125452,order,exocoetidae,family
beloniformes,125453,order,hemiramphidae,family
beloniformes,125454,order,scomberesocidae,family
beloniformes,714659,order,zenarchopteridae,family
beroida,106317,order,beroidae,family
beryciformes,151916,order,anomalopidae,family
beryciformes,267002,order,anoplogastridae,family
beryciformes,125456,order,berycidae,family
beryciformes,125457,order,diretmidae,family
beryciformes,125458,order,holocentridae,family
beryciformes,151917,order,monocentridae,family
beryciformes,125459,order,trachichthyidae,family
bicoecida,22574,order,bicosoecaceae,family
bicoecida,17616,order,cafeteriaceae,family
biddulphiales,148966,order,biddulphiaceae,family
biemnida,150266,order,biemnidae,family
biemnida,131643,order,rhabderemiidae,family
bivalvulida,120257,order,myxobolidae,family
bivalvulida,120245,order,sphaeromyxidae,family
bivalvulida,120246,order,alatasporidae,family
