spp_gp,rank,name,parent,parent_level
emarginula pumila,genus,emarginula,fissurellidae,family
emarginula pumila,species,emarginula pumila,emarginula,genus
emmelichthys nitidus,phylum,chordata,animalia,kingdom
emmelichthys nitidus,class,actinopterygii,chordata,phylum
emmelichthys nitidus,order,eupercaria incertae sedis,actinopterygii,class
emmelichthys nitidus,family,emmelichthyidae,eupercaria incertae sedis,order
emmelichthys nitidus,genus,emmelichthys,emmelichthyidae,family
emmelichthys nitidus,species,emmelichthys nitidus,emmelichthys,genus
encope perspectiva,phylum,echinodermata,animalia,kingdom
encope perspectiva,class,echinoidea,echinodermata,phylum
encope perspectiva,order,clypeasteroida,echinoidea,class
encope perspectiva,family,mellitidae,clypeasteroida,order
encope perspectiva,genus,encope,mellitidae,family
encope perspectiva,species,encope perspectiva,encope,genus
endectyon fruticosum,phylum,porifera,animalia,kingdom
endectyon fruticosum,class,demospongiae,porifera,phylum
endectyon fruticosum,order,axinellida,demospongiae,class
endectyon fruticosum,family,raspailiidae,axinellida,order
endectyon fruticosum,genus,endectyon,raspailiidae,family
endectyon fruticosum,species,endectyon fruticosum,endectyon,genus
engina incarnata,phylum,mollusca,animalia,kingdom
engina incarnata,class,gastropoda,mollusca,phylum
engina incarnata,order,neogastropoda,gastropoda,class
engina incarnata,family,pisaniidae,neogastropoda,order
engina incarnata,genus,engina,pisaniidae,family
engina incarnata,species,engina incarnata,engina,genus
enhydrina schistosa,phylum,chordata,animalia,kingdom
enhydrina schistosa,class,reptilia,chordata,phylum
enhydrina schistosa,order,squamata,reptilia,class
enhydrina schistosa,family,elapidae,squamata,order
enhydrina schistosa,genus,enhydrina,elapidae,family
enhydrina schistosa,species,enhydrina schistosa,enhydrina,genus
enida japonica,phylum,mollusca,animalia,kingdom
enida japonica,class,gastropoda,mollusca,phylum
enida japonica,order,trochida,gastropoda,class
enida japonica,family,trochidae,trochida,order
enida japonica,genus,enida,trochidae,family
enida japonica,species,enida japonica,enida,genus
entodesma navicula,phylum,mollusca,animalia,kingdom
entodesma navicula,class,bivalvia,mollusca,phylum
entodesma navicula,order,pholadomyoida,bivalvia,class
entodesma navicula,family,lyonsiidae,pholadomyoida,order
entodesma navicula,genus,entodesma,lyonsiidae,family
