am_sid,species,trait,trait_value
Fis-32634,chaetodon blackburnii,thermal_tolerance_range,5-7.5C
Fis-26803,abudefduf sparoides,thermal_tolerance_range,2.5-5C
Fis-32637,halichoeres lapillus,thermal_tolerance_range,2.5-5C
Fis-26815,eleotris fusca,thermal_tolerance_range,2.5-5C
Fis-26819,omobranchus fasciolatus,thermal_tolerance_range,2.5-5C
Fis-10516,aspidontus tractus,thermal_tolerance_range,2.5-5C
Fis-26821,antennablennius bifilum,thermal_tolerance_range,2.5-5C
Fis-143429,gymnothorax griseus,thermal_tolerance_range,5-7.5C
Fis-26852,parapristipoma octolineatum,thermal_tolerance_range,5-7.5C
Fis-26860,hypoatherina ovalaua,thermal_tolerance_range,0-2.5C
Fis-164094,ariomma luridum,thermal_tolerance_range,>15C
Fis-11367,coelorinchus acanthiger,thermal_tolerance_range,10-15C
Fis-32858,rexichthys johnpaxtoni,thermal_tolerance_range,>15C
Fis-32870,helcogramma fuscopinna,thermal_tolerance_range,5-7.5C
Fis-32871,helcogramma rhinoceros,thermal_tolerance_range,2.5-5C
Fis-32902,samariscus triocellatus,thermal_tolerance_range,2.5-5C
Fis-128236,fowleria vaiulae,thermal_tolerance_range,2.5-5C
Fis-29584,acanthurus xanthopterus,thermal_tolerance_range,2.5-5C
Fis-32986,centropyge colini,thermal_tolerance_range,0-2.5C
Fis-27195,bathysolea profundicola,thermal_tolerance_range,10-15C
Fis-33065,poecilopsetta natalensis,thermal_tolerance_range,>15C
Fis-33074,chaetodon dolosus,thermal_tolerance_range,2.5-5C
Fis-33082,chaetodon mitratus,thermal_tolerance_range,2.5-5C
Fis-27226,lamprogrammus brunswigi,thermal_tolerance_range,5-7.5C
Fis-33241,gigantura chuni,thermal_tolerance_range,2.5-5C
Fis-33244,belone svetovidovi,thermal_tolerance_range,10-15C
Fis-27333,encheliophis gracilis,thermal_tolerance_range,2.5-5C
Fis-27342,centropyge acanthops,thermal_tolerance_range,5-7.5C
Fis-33735,kraemeria samoensis,thermal_tolerance_range,0-2.5C
Fis-27717,pseudechidna brummeri,thermal_tolerance_range,2.5-5C
Fis-165311,ostorhinchus apogonoides,thermal_tolerance_range,2.5-5C
Fis-34036,hoplichthys regani,thermal_tolerance_range,10-15C
Fis-27848,arnoglossus debilis,thermal_tolerance_range,2.5-5C
Fis-28015,apolemichthys xanthurus,thermal_tolerance_range,2.5-5C
Fis-28023,parupeneus forsskali,thermal_tolerance_range,5-7.5C
Fis-34340,centropyge shepardi,thermal_tolerance_range,2.5-5C
Fis-28065,genicanthus caudovittatus,thermal_tolerance_range,5-7.5C
Fis-166689,antennatus analis,thermal_tolerance_range,2.5-5C
Fis-28120,sagamichthys schnakenbecki,thermal_tolerance_range,2.5-5C
Fis-34692,argyropelecus lychnus,thermal_tolerance_range,10-15C
Fis-34786,chauliodus minimus,thermal_tolerance_range,5-7.5C
Fis-34832,melanostomias paucilaternatus,thermal_tolerance_range,10-15C
Fis-34842,thysanactis dentex,thermal_tolerance_range,2.5-5C
Fis-34859,amphiprion allardi,thermal_tolerance_range,2.5-5C
Fis-34870,azurina hirundo,thermal_tolerance_range,7.5-10C
Fis-28228,chromis axillaris,thermal_tolerance_range,2.5-5C
Fis-17275,pentaceros wheeleri,thermal_tolerance_range,>15C
Fis-35157,chromis flavomaculata,thermal_tolerance_range,5-7.5C
Fis-35163,chromis nigrura,thermal_tolerance_range,2.5-5C
Fis-150883,stegastes leucorus,thermal_tolerance_range,10-15C
Fis-35236,chaetodon trichrous,thermal_tolerance_range,0-2.5C
Fis-35245,neobythites purus,thermal_tolerance_range,7.5-10C
Fis-23063,carcharhinus melanopterus,thermal_tolerance_range,2.5-5C
Fis-28563,aetobatus ocellatus,thermal_tolerance_range,5-7.5C
Fis-28569,heteroconger hassi,thermal_tolerance_range,2.5-5C
Fis-35284,siphamia mossambica,thermal_tolerance_range,2.5-5C
Fis-35295,synchiropus morrisoni,thermal_tolerance_range,2.5-5C
Fis-35301,cheilodactylus ephippium,thermal_tolerance_range,2.5-5C
Fis-35307,gunnellichthys monostigma,thermal_tolerance_range,2.5-5C
Fis-28586,pseudanthias pictilis,thermal_tolerance_range,7.5-10C
Fis-28588,amblyeleotris aurora,thermal_tolerance_range,5-7.5C
Fis-35320,gorgasia preclara,thermal_tolerance_range,2.5-5C
Fis-57922,pseudanthias pulcherrimus,thermal_tolerance_range,2.5-5C
Fis-35347,canthigaster smithae,thermal_tolerance_range,2.5-5C
Fis-35377,canthigaster tyleri,thermal_tolerance_range,2.5-5C
Fis-164871,sunagocia arenicola,thermal_tolerance_range,2.5-5C
Fis-21582,thysanophrys chiltonae,thermal_tolerance_range,2.5-5C
Fis-35412,apogon talboti,thermal_tolerance_range,2.5-5C
Fis-35414,pempheris schwenkii,thermal_tolerance_range,5-7.5C
Fis-35439,apogon crassiceps,thermal_tolerance_range,2.5-5C
Fis-35453,cirrhilabrus laboutei,thermal_tolerance_range,0-2.5C
Fis-35454,cirrhilabrus lineatus,thermal_tolerance_range,0-2.5C
Fis-28752,hologymnosus longipes,thermal_tolerance_range,2.5-5C
Fis-35500,macropharyngodon kuiteri,thermal_tolerance_range,2.5-5C
Fis-29084,enneapterygius hemimelas,thermal_tolerance_range,2.5-5C
Fis-29086,enneapterygius nanus,thermal_tolerance_range,0-2.5C
Fis-57918,dunckerocampus multiannulatus,thermal_tolerance_range,2.5-5C
Fis-29200,gymnothorax marshallensis,thermal_tolerance_range,0-2.5C
Fis-35907,foa fo,thermal_tolerance_range,2.5-5C
Fis-142112,cercamia eremia,thermal_tolerance_range,2.5-5C
Fis-29236,atherinomorus insularum,thermal_tolerance_range,0-2.5C
Fis-35947,chelidoperca margaritifera,thermal_tolerance_range,5-7.5C
Fis-35968,hoplichthys citrinus,thermal_tolerance_range,5-7.5C
Fis-47018,pterygotrigla multiocellata,thermal_tolerance_range,5-7.5C
Fis-47448,lycodes frigidus,thermal_tolerance_range,0-2.5C
Fis-47582,engyprosopon septempes,thermal_tolerance_range,0-2.5C
Fis-47584,engyprosopon mogkii,thermal_tolerance_range,2.5-5C
Fis-47589,tosarhombus neocaledonicus,thermal_tolerance_range,0-2.5C
Fis-48954,chromogobius quadrivittatus,thermal_tolerance_range,7.5-10C
Fis-49171,zebrus zebrus,thermal_tolerance_range,5-7.5C
Fis-49711,mentodus rostratus,thermal_tolerance_range,7.5-10C
Fis-49741,cyclothone parapallida,thermal_tolerance_range,5-7.5C
Fis-49952,diaphus luetkeni,thermal_tolerance_range,5-7.5C
Fis-50053,sternoptyx obscura,thermal_tolerance_range,2.5-5C
Fis-50088,apletodon pellegrini,thermal_tolerance_range,7.5-10C
Fis-50295,parataeniophorus brevis,thermal_tolerance_range,10-15C
Fis-151600,neoscorpaena nielseni,thermal_tolerance_range,2.5-5C
Fis-50367,caracanthus madagascariensis,thermal_tolerance_range,2.5-5C
Fis-50455,dysalotus oligoscolus,thermal_tolerance_range,2.5-5C
Fis-50498,alloblennius parvus,thermal_tolerance_range,2.5-5C
Fis-59583,blenniella cyanostigma,thermal_tolerance_range,2.5-5C
Fis-50570,enneapterygius abeli,thermal_tolerance_range,2.5-5C
Fis-50637,diplogrammus infulatus,thermal_tolerance_range,2.5-5C
Fis-140649,amoya signata,thermal_tolerance_range,2.5-5C
Fis-50715,callogobius flavobrunneus,thermal_tolerance_range,2.5-5C
Fis-50723,fusigobius duospilus,thermal_tolerance_range,2.5-5C
Fis-57914,photoblepharon steinitzi,thermal_tolerance_range,2.5-5C
Fis-50837,cetonurus globiceps,thermal_tolerance_range,>15C
Fis-51533,kaupichthys brachychirus,thermal_tolerance_range,0-2.5C
Fis-51867,paragobiodon lacunicolus,thermal_tolerance_range,2.5-5C
Fis-52026,aseraggodes melanostictus,thermal_tolerance_range,0-2.5C
