iucn_sid,sciname,worms_name,in_am,in_am_valid,in_vuln,mapped
15281,omphalotropis howeinsulae,omphalotropis howeinsulae,FALSE,FALSE,FALSE,FALSE
15283,omphalotropis laevigata,chalicopoma laevigatum,FALSE,FALSE,FALSE,FALSE
15284,omphalotropis laticosta,omphalotropis laticosta,FALSE,FALSE,FALSE,FALSE
15285,omphalotropis latilabris,omphalotropis latilabris,FALSE,FALSE,FALSE,FALSE
15286,omphalotropis mutica,omphalotropis mutica,FALSE,FALSE,FALSE,FALSE
15287,omphalotropis ochthogyra,omphalotropis ochthogyra,FALSE,FALSE,FALSE,FALSE
15288,omphalotropis picta,omphalotropis picta,FALSE,FALSE,FALSE,FALSE
15289,omphalotropis pilosa,omphalotropis pilosa,FALSE,FALSE,FALSE,FALSE
15290,omphalotropis quadrasi,omphalotropis quadrasi,FALSE,FALSE,FALSE,FALSE
15291,omphalotropis semicostulata,chalicopoma semicostulatum,FALSE,FALSE,FALSE,FALSE
15292,omphalotropis striatapila,omphalotropis striatipila,FALSE,FALSE,FALSE,FALSE
15293,omphalotropis submaritima,omphalotropis submaritima,FALSE,FALSE,FALSE,FALSE
15295,omphalotropis suturalis,omphalotropis suturalis,FALSE,FALSE,FALSE,FALSE
15296,omphalotropis tumidula,omphalotropis tumidula,FALSE,FALSE,FALSE,FALSE
15297,omphalotropis plicosa,omphalotropis plicosa,FALSE,FALSE,FALSE,FALSE
15298,omphalotropis hieroglyphica,omphalotropis hieroglyphica,FALSE,FALSE,FALSE,FALSE
15419,orcaella brevirostris,orcaella brevirostris,TRUE,TRUE,TRUE,FALSE
15421,orcinus orca,orcinus orca,TRUE,TRUE,TRUE,TRUE
15873,pagrus pagrus,pagrus pagrus,TRUE,TRUE,TRUE,TRUE
15939,pandaka pygmaea,pandaka pygmaea,TRUE,TRUE,TRUE,FALSE
16011,favonigobius melanobranchus,favonigobius melanobranchus,TRUE,TRUE,TRUE,FALSE
16012,favonigobius reichei,favonigobius reichei,TRUE,TRUE,TRUE,FALSE
16083,paradoxa confirmata,pradoxa confirmata,FALSE,FALSE,TRUE,FALSE
16084,paradoxa thomensis,pradoxa thomensis,FALSE,FALSE,TRUE,FALSE
16185,parapinnixa affinis,parapinnixa affinis,FALSE,FALSE,TRUE,FALSE
16238,paretroplus polyactis,paretroplus polyactis,FALSE,FALSE,FALSE,FALSE
16474,pegasus lancifer,pegasus lancifer,TRUE,TRUE,TRUE,TRUE
16475,pegasus laternarius,pegasus laternarius,TRUE,TRUE,TRUE,TRUE
16476,pegasus volitans,pegasus volitans,TRUE,TRUE,TRUE,TRUE
16477,pegasus volitans,pegasus volitans,TRUE,TRUE,TRUE,FALSE
16478,pegasus volitans,pegasus volitans,TRUE,TRUE,TRUE,FALSE
16503,pelochelys bibroni,no match,FALSE,FALSE,FALSE,TRUE
16564,peponocephala electra,peponocephala electra,TRUE,TRUE,TRUE,TRUE
16781,petromyzon marinus,petromyzon marinus,TRUE,TRUE,FALSE,FALSE
16869,phallodriloides macmasterae,phallodriloides macmasterae,FALSE,FALSE,FALSE,FALSE
16870,phallostethus dunckeri,phallostethus dunckeri,FALSE,FALSE,FALSE,FALSE
17013,phoca vitulina,phoca vitulina,TRUE,TRUE,TRUE,FALSE
17014,phoca vitulina,phoca vitulina,TRUE,TRUE,TRUE,FALSE
17020,phoca vitulina,phoca vitulina,TRUE,TRUE,TRUE,FALSE
