cell_id,chi,n_strs,iucn_sid,rank
3375979,0.23942999999999998,2,133486,high
3119672,0.27205,2,133489,high
3375979,0.23304,2,133489,high
2421179,0.22801,5,133491,high
3119672,0.27519,2,133491,high
3375979,0.23574,2,133491,high
2421179,0.23159,5,133492,high
3119672,0.27949,2,133492,high
3375979,0.23942999999999998,2,133492,high
3425334,0.02929,2,133492,low
3460415,0.02396,2,133492,low
3516557,0.0311,2,133492,low
3664010,0.00333,2,133492,low
3671050,4.3e-4,2,133492,low
2421179,0.22801,5,133493,high
3119672,0.27519,2,133493,high
3375979,0.23574,2,133493,high
3425334,0.02883,2,133493,low
3460415,0.02359,2,133493,low
3516557,0.03061,2,133493,low
3664010,0.00328,2,133493,low
3671050,4.2e-4,2,133493,low
2421179,0.22541,5,133494,high
3119672,0.27205,2,133494,high
3375979,0.23304,2,133494,high
3119672,0.27519,2,133495,high
3375979,0.23574,2,133495,high
3425334,0.02883,2,133495,low
3460415,0.02359,2,133495,low
3516557,0.03061,2,133495,low
3664010,0.00328,2,133495,low
3671050,4.2e-4,2,133495,low
2421179,0.23159,5,133496,high
3119672,0.27949,2,133496,high
3375979,0.23942999999999998,2,133496,high
3425334,0.02929,2,133496,low
3460415,0.02396,2,133496,low
3516557,0.0311,2,133496,low
3664010,0.00333,2,133496,low
3671050,4.3e-4,2,133496,low
2421179,0.22801,5,133498,high
3119672,0.27519,2,133498,high
3375979,0.23574,2,133498,high
3425334,0.02883,2,133498,low
3460415,0.02359,2,133498,low
3516557,0.03061,2,133498,low
3664010,0.00328,2,133498,low
3671050,4.2e-4,2,133498,low
3119672,0.27949,2,133499,high
3375979,0.23942999999999998,2,133499,high
3375979,0.23304,2,133500,high
3425334,0.0285,2,133501,low
3460415,0.02331,2,133501,low
3516557,0.03026,2,133501,low
3664010,0.00324,2,133501,low
3671050,4.1e-4,2,133501,low
2421179,0.22801,5,133503,high
3119672,0.27519,2,133503,high
3375979,0.23574,2,133503,high
3425334,0.02883,2,133503,low
3460415,0.02359,2,133503,low
3516557,0.03061,2,133503,low
3664010,0.00328,2,133503,low
3671050,4.2e-4,2,133503,low
3119672,0.27519,2,133508,high
3375979,0.23574,2,133508,high
2421179,0.22801,5,133509,high
3119672,0.27519,2,133509,high
3375979,0.23574,2,133509,high
3425334,0.02883,2,133509,low
3460415,0.02359,2,133509,low
3516557,0.03061,2,133509,low
3664010,0.00328,2,133509,low
3671050,4.2e-4,2,133509,low
2421179,0.22541,5,133513,high
3119672,0.27205,2,133513,high
3375979,0.23304,2,133513,high
3425334,0.0285,2,133513,low
3460415,0.02331,2,133513,low
3516557,0.03026,2,133513,low
3664010,0.00324,2,133513,low
3671050,4.1e-4,2,133513,low
3119672,0.27519,2,133515,high
3375979,0.23574,2,133515,high
3119672,0.27205,2,133523,high
3375979,0.23304,2,133523,high
3425334,0.0285,2,133523,low
3460415,0.02331,2,133523,low
3516557,0.03026,2,133523,low
3664010,0.00324,2,133523,low
3671050,4.1e-4,2,133523,low
3119672,0.27205,2,133524,high
3375979,0.23304,2,133524,high
2421179,0.22541,5,133525,high
3119672,0.27205,2,133525,high
3375979,0.23304,2,133525,high
3425334,0.0285,2,133525,low
3460415,0.02331,2,133525,low
3516557,0.03026,2,133525,low
3664010,0.00324,2,133525,low
3671050,4.1e-4,2,133525,low
3119672,0.27949,2,133530,high
3375979,0.23942999999999998,2,133530,high
2421179,0.22541,5,133531,high
3119672,0.27205,2,133531,high
3375979,0.23304,2,133531,high
2421179,0.22541,5,133532,high
3119672,0.27205,2,133532,high
3375979,0.23304,2,133532,high
3425334,0.0285,2,133532,low
3460415,0.02331,2,133532,low
3516557,0.03026,2,133532,low
3664010,0.00324,2,133532,low
3671050,4.1e-4,2,133532,low
3119672,0.27519,2,133537,high
2421179,0.22801,5,133538,high
3119672,0.27519,2,133538,high
3375979,0.23574,2,133538,high
3425334,0.02883,2,133538,low
3460415,0.02359,2,133538,low
3516557,0.03061,2,133538,low
3664010,0.00328,2,133538,low
3671050,4.2e-4,2,133538,low
3119672,0.27519,2,133539,high
3375979,0.23574,2,133539,high
2421179,0.22541,5,133547,high
3119672,0.27205,2,133547,high
3375979,0.23304,2,133547,high
3425334,0.0285,2,133547,low
3460415,0.02331,2,133547,low
3516557,0.03026,2,133547,low
3664010,0.00324,2,133547,low
3671050,4.1e-4,2,133547,low
2421179,0.22801,5,133548,high
3119672,0.27519,2,133548,high
3375979,0.23574,2,133548,high
3425334,0.02883,2,133548,low
3460415,0.02359,2,133548,low
3516557,0.03061,2,133548,low
3664010,0.00328,2,133548,low
3671050,4.2e-4,2,133548,low
2421179,0.22801,5,133551,high
3119672,0.27519,2,133551,high
3375979,0.23574,2,133551,high
3425334,0.02883,2,133551,low
3460415,0.02359,2,133551,low
3516557,0.03061,2,133551,low
3664010,0.00328,2,133551,low
3671050,4.2e-4,2,133551,low
3119672,0.27949,2,133555,high
3375979,0.23942999999999998,2,133555,high
2421179,0.22541,5,133556,high
3119672,0.27205,2,133556,high
3375979,0.23304,2,133556,high
3425334,0.0285,2,133556,low
3460415,0.02331,2,133556,low
3516557,0.03026,2,133556,low
3664010,0.00324,2,133556,low
3671050,4.1e-4,2,133556,low
3119672,0.27519,2,133557,high
3375979,0.23574,2,133557,high
2421179,0.22801,5,133558,high
3119672,0.27519,2,133558,high
3375979,0.23574,2,133558,high
3425334,0.02883,2,133558,low
3460415,0.02359,2,133558,low
3516557,0.03061,2,133558,low
3664010,0.00328,2,133558,low
3671050,4.2e-4,2,133558,low
2421179,0.22801,5,133559,high
3119672,0.27519,2,133559,high
3375979,0.23574,2,133559,high
3425334,0.02883,2,133559,low
3460415,0.02359,2,133559,low
3516557,0.03061,2,133559,low
3664010,0.00328,2,133559,low
3671050,4.2e-4,2,133559,low
2421179,0.22541,5,133563,high
3119672,0.27205,2,133563,high
3375979,0.23304,2,133563,high
3425334,0.0285,2,133563,low
3460415,0.02331,2,133563,low
3516557,0.03026,2,133563,low
3664010,0.00324,2,133563,low
3671050,4.1e-4,2,133563,low
2421179,0.22801,5,133570,high
3119672,0.27519,2,133570,high
3375979,0.23574,2,133570,high
3425334,0.02883,2,133570,low
3460415,0.02359,2,133570,low
3516557,0.03061,2,133570,low
3664010,0.00328,2,133570,low
3671050,4.2e-4,2,133570,low
2421179,0.22541,5,133576,high
3119672,0.27205,2,133576,high
3375979,0.23304,2,133576,high
3425334,0.0285,2,133576,low
3460415,0.02331,2,133576,low
3516557,0.03026,2,133576,low
3664010,0.00324,2,133576,low
3671050,4.1e-4,2,133576,low
3119672,0.27519,2,133582,high
3375979,0.23574,2,133582,high
3375979,0.23304,2,133583,high
2421179,0.22801,5,133587,high
3119672,0.27519,2,133587,high
3375979,0.23574,2,133587,high
2421179,0.22801,5,133588,high
3119672,0.27519,2,133588,high
3375979,0.23574,2,133588,high
3425334,0.02883,2,133588,low
3460415,0.02359,2,133588,low
3516557,0.03061,2,133588,low
3664010,0.00328,2,133588,low
3671050,4.2e-4,2,133588,low
3119672,0.27519,2,133590,high
3375979,0.23574,2,133590,high
2421179,0.22541,5,133592,high
3119672,0.27205,2,133592,high
3375979,0.23304,2,133592,high
3425334,0.0285,2,133592,low
3460415,0.02331,2,133592,low
3516557,0.03026,2,133592,low
3664010,0.00324,2,133592,low
3671050,4.1e-4,2,133592,low
2644637,0.21076,2,133594,high
2813296,0.12745,5,133594,high
2644637,0.21076,2,133596,high
2813296,0.12745,5,133596,high
3119672,0.27205,2,133598,high
3375979,0.23304,2,133598,high
2421179,0.22541,5,133599,high
3119672,0.27205,2,133599,high
3375979,0.23304,2,133599,high
3425334,0.0285,2,133599,low
