orig_sciname,valid_name,aphia_id
lolliguncula panamensis,lolliguncula (lolliguncula) panamensis,574511
lucifer chacei,belzebub chacei,883866
lucifer faxoni,belzebub faxoni,883867
lucifuga dentata,lucifuga dentata,1021352
lucifuga subterranea,lucifuga subterranea,1021351
lucina pectinata,phacoides pectinatus,420800
lucina pectinata,ctena mexicana,464130
lucina pectinata,epicodakia pectinata,875468
luciobarbus albanicus,luciobarbus albanicus,1020634
luciobarbus bocagei,luciobarbus bocagei,474117
luciobarbus comizo,luciobarbus comizo,1021045
luciobarbus graecus,luciobarbus graecus,1019349
luciobarbus graellsii,luciobarbus graellsii,1020876
luciobarbus guiraonis,luciobarbus guiraonis,1020918
luciobarbus longiceps,luciobarbus longiceps,1022203
luciobarbus microcephalus,luciobarbus microcephalus,1013400
luciobarbus sclateri,luciobarbus sclateri,1020754
lumbrineris gracilis,hilbigneris gracilis,607402
macquaria ambigua,macquaria ambigua,1020364
macquaria australasica,macquaria australasica,991274
macrognathus circumcinctus,macrognathus circumcinctus,1016473
macrognathus maculatus,macrognathus maculatus,1014926
macrognathus siamensis,macrognathus siamensis,1021170
macrognathus taeniagaster,macrognathus taeniagaster,1015356
macrophthalmus depressus,macrophthalmus (mareotis) depressus,209419
macrophthalmus graeffei,macrophthalmus (macrophthalmus) graeffei,107463
macrophthalmus grandidieri,macrophthalmus (macrophthalmus) grandidierii,209420
macrophthalmus laevis,macrophthalmus (mareotis) laevis,444955
macrophthalmus serenei,macrophthalmus (macrophthalmus) serenei,444948
macrophthalmus sulcatus,macrophthalmus (macrophthalmus) sulcatus,209428
magelona mirabilis,magelona mirabilis,130271
mastacembelus cunningtoni,mastacembelus cunningtoni,1383129
mastacembelus erythrotaenia,mastacembelus erythrotaenia,1021164
mastacembelus favus,mastacembelus favus,1016504
mastacembelus frenatus,mastacembelus frenatus,1017050
mastacembelus moorii,mastacembelus moorii,1015105
mastacembelus shiranus,mastacembelus shiranus,1019263
maxacteon fabreanus,punctacteon fabreanus,716736
barbodes aurotaeniatus,barbodes aurotaeniatus,1026300
barbodes binotatus,barbodes binotatus,1014769
barbodes carnaticus,barbodes carnaticus,1021904
barbodes everetti,barbodes everetti,1019398
barbodes lateristriga,barbodes lateristriga,1015055
barbodes semifasciolatus,barbodes semifasciolatus,1026350
barbus barbus,barbus barbus,154292
barbus cyclolepis,barbus cyclolepis,1015365
barbus cyri,barbus cyri,1020170
barbus haasi,barbus haasi,1525641
barbus meridionalis,barbus meridionalis,1022733
barbus plebejus,barbus plebejus,1022195
barbus prespensis,barbus prespensis,1525656
benthesicymus investigatoris,maorrancaris investigatoris,1391002
benthesicymus strabus,bathicaris strabus,1390999
benthesicymus tanneri,benthoecetes tanneri,1391797
betta bellica,betta bellica,1017852
betta livida,betta livida,1011156
betta splendens,betta splendens,862539
betta waseri,betta waseri,1011866
bornella stellifer,bornella stellifera,404964
bostrychus expatria,bostrychus expatria,1016203
brachyplatystoma juruense,brachyplatystoma juruense,1026890
brachyplatystoma platynemum,brachyplatystoma platynemum,1019164
brachyplatystoma rousseauxii,brachyplatystoma rousseauxii,1021508
melanotaenia exquisita,melanotaenia exquisita,1049468
melanotaenia gracilis,melanotaenia gracilis,1012560
melanotaenia splendida,melanotaenia splendida,991277
melita obtusata,abludomelita obtusata,102788
menidia extensa,menidia extensa,1014365
merluccius gayi peruanus,merluccius peruanus,1524920
mesodesma mactroides,amarilladesma mactroides,505790
mesoheros festae,mesoheros festae,1468486
microcephalophis gracilis,hydrophis gracilis,344633
micromelo undata,micromelo undatus,140121
midorigai australis,berthelinia australis,492586
mobula eregoodootenkee,mobula kuhlii,217436
mobula japanica,mobula mobular,105858
monoculodes carinatus,kroyera carinata,547074
morone chrysops,morone chrysops,422560
morula granulata,tenguella granulata,716636
morula musiva,tenguella musiva,716638
moxostoma anisurum,moxostoma anisurum,1022837
moxostoma carinatum,moxostoma carinatum,1421422
moxostoma duquesnei,moxostoma duquesnei,1022878
moxostoma erythrurum,moxostoma erythrurum,1022856
moxostoma hubbsi,moxostoma hubbsi,1014131
moxostoma valenciennesi,moxostoma valenciennesi,1015875
mugilogobius adeia,mugilogobius adeia,1011153
mugilogobius sarasinorum,mugilogobius sarasinorum,1019250
mullus barbatus ponticus,mullus barbatus ponticus,293633
myoxocephalus thompsonii,myoxocephalus thompsonii,567535
mysella bidentata,kurtiella bidentata,345281
mysidopsis almyra,americamysis almyra,161345
mystus albolineatus,mystus albolineatus,1010964
mystus atrifasciatus,mystus atrifasciatus,1015043
mystus bocourti,mystus bocourti,1420603
mystus keletius,mystus keletius,1022385
mystus multiradiatus,mystus multiradiatus,1011159
mystus mysticetus,mystus mysticetus,1011160
mystus nigriceps,mystus nigriceps,1022024
mystus rhegma,mystus rhegma,1015270
mystus singaringan,mystus singaringan,1026297
mystus tengara,mystus tengara,1022781
mytella bicolor,mytella guyanensis,533145
mytella charruana,mytella strigata,1458663
mytilus coruscus,mytilus unguiculatus,541675
nannoperca oxleyana,nannoperca oxleyana,991284
nannoperca vittata,nannoperca vittata,1020471
navanax polyalphos,navanax polyalphos,581410
neanthes succinea,alitta succinea,234850
nedystoma dayi,nedystoma dayi,1019816
nemapteryx augusta,nemapteryx augusta,1012629
nematalosa flyensis,nematalosa flyensis,1012165
nematalosa papuensis,nematalosa papuensis,1013595
neoarius berneyi,neoarius berneyi,991190
neoarius coatesi,neoarius coatesi,1011466
neoarius latirostris,neoarius latirostris,1015193
neoarius taylori,neoarius taylori,1011445
neoarius utarus,neoarius utarus,1011467
neoarius velutinus,neoarius velutinus,1015372
neosalanx pseudotaihuensis,neosalanx pseudotaihuensis,1011620
nomorhamphus liemi,nomorhamphus liemi,1012548
nosferatu bartoni,nosferatu bartoni,1019561
nosferatu steindachneri,nosferatu steindachneri,1018991
notropis anogenus,notropis anogenus,1019835
notropis atherinoides,notropis atherinoides,567536
notropis bifrenatus,notropis bifrenatus,888531
notropis blennius,notropis blennius,1419433
notropis boops,notropis boops,1019858
notropis buccatus,notropis buccata,1420926
notropis buchanani,notropis buchanani,1019264
notropis dorsalis,notropis dorsalis,1017717
notropis heterodon,notropis heterodon,1420801
notropis photogenis,notropis photogenis,1020956
notropis procne,notropis procne,1020958
notropis rubellus,notropis rubellus,1020944
notropis stramineus,notropis stramineus,1020955
notropis texanus,notropis texanus,1019547
notropis volucellus,notropis volucellus,1026690
nymphon rubrum,nymphon brevirostre,150520
oceanodroma furcata,oceanodroma furcata,343962
octopus burryi,amphioctopus burryi,420653
odaxothrissa mento,odaxothrissa mento,1017109
odontesthes mauleanum,odontesthes mauleanum,990517
ompok hypophthalmus,ompok hypophthalmus,1021751
ompok malabaricus,ompok malabaricus,1022384
oncorhynchus aguabonita,oncorhynchus aguabonita,1019567
oncorhynchus formosanus,oncorhynchus formosanus,1016972
onuphis quadricuspis,paradiopatra quadricuspis,130480
onykia ingens,moroteuthopsis ingens,1452502
ophelina acuminata,ophelina acuminata,130500
ophiothrix savignyi,ophiothrix (ophiothrix) savignyi,244191
opisthoteuthis vossi,opisthoteuthis massyae,153060
