spec_code,species,db,length_max,in_spp_table,table
8733,trygonorrhina fasciata,fb,100,TRUE,poplw
4897,trypauchen vagina,fb,17.9,TRUE,poplw
4897,trypauchen vagina,fb,17.7,TRUE,poplw
4897,trypauchen vagina,fb,20,TRUE,poplw
4897,trypauchen vagina,fb,19,TRUE,poplw
4897,trypauchen vagina,fb,18.6,TRUE,poplw
4897,trypauchen vagina,fb,18.8,TRUE,poplw
4897,trypauchen vagina,fb,16.1,TRUE,poplw
67366,turcinoemacheilus hafezi,fb,6.1,TRUE,poplw
54801,turcinoemacheilus kosswigi,fb,5.4,TRUE,poplw
8072,tylerius spinosissimus,fb,2.2,TRUE,poplw
8707,tylochromis bangwelensis,fb,22,TRUE,poplw
2491,tylochromis jentinki,fb,20.5,TRUE,poplw
9128,tylochromis leonensis,fb,20.5,TRUE,poplw
976,tylosurus acus acus,fb,114,TRUE,poplw
976,tylosurus acus acus,fb,77.7,TRUE,poplw
977,tylosurus crocodilus,fb,52,TRUE,poplw
977,tylosurus crocodilus,fb,88,TRUE,poplw
977,tylosurus crocodilus,fb,98.6,TRUE,poplw
13570,tylosurus fodiator,fb,134,TRUE,poplw
13568,tylosurus pacificus,fb,150,TRUE,poplw
14503,tylosurus punctulatus,fb,59.5,TRUE,poplw
48589,tympanopleura atronasus,fb,14.9,TRUE,poplw
3566,ulaema lefroyi,fb,5.2,TRUE,poplw
1930,ulua mentalis,fb,28.7,TRUE,poplw
4670,umbra krameri,fb,7.4,TRUE,poplw
2707,umbra limi,fb,10.6,TRUE,poplw
2708,umbra pygmaea,fb,13.7,TRUE,poplw
2708,umbra pygmaea,fb,12.7,TRUE,poplw
1197,umbrina broussonnetii,fb,28,TRUE,poplw
4548,umbrina canariensis,fb,18.6,TRUE,poplw
4548,umbrina canariensis,fb,41.8,TRUE,poplw
413,umbrina canosai,fb,53.3,TRUE,poplw
413,umbrina canosai,fb,30.2,TRUE,poplw
413,umbrina canosai,fb,41.5,TRUE,poplw
413,umbrina canosai,fb,15.6,TRUE,poplw
1306,umbrina cirrosa,fb,66.5,TRUE,poplw
1306,umbrina cirrosa,fb,24.7,TRUE,poplw
1306,umbrina cirrosa,fb,47,TRUE,poplw
1199,umbrina coroides,fb,19.2,TRUE,poplw
1199,umbrina coroides,fb,20.6,TRUE,poplw
1199,umbrina coroides,fb,22.5,TRUE,poplw
1199,umbrina coroides,fb,26.9,TRUE,poplw
3590,umbrina roncador,fb,42,TRUE,poplw
3590,umbrina roncador,fb,55.9,TRUE,poplw
13082,upeneichthys lineatus,fb,23,TRUE,poplw
13082,upeneichthys lineatus,fb,28.8,TRUE,poplw
10815,upeneus asymmetricus,fb,13.1,TRUE,poplw
59750,upeneus australiae,fb,15.5,TRUE,poplw
62425,upeneus guttatus,fb,13.5,TRUE,poplw
7879,upeneus japonicus,fb,28,TRUE,poplw
7879,upeneus japonicus,fb,16.2,TRUE,poplw
4444,upeneus moluccensis,fb,17.6,TRUE,poplw
4444,upeneus moluccensis,fb,19.5,TRUE,poplw
4444,upeneus moluccensis,fb,18,TRUE,poplw
4444,upeneus moluccensis,fb,17.7,TRUE,poplw
4444,upeneus moluccensis,fb,22.5,TRUE,poplw
4444,upeneus moluccensis,fb,16.3,TRUE,poplw
4444,upeneus moluccensis,fb,22,TRUE,poplw
4444,upeneus moluccensis,fb,20,TRUE,poplw
4444,upeneus moluccensis,fb,17,TRUE,poplw
