orig_sciname,valid_name,aphia_id
chrysichthys okae,chrysichthys okae,1014256
chrysichthys ornatus,chrysichthys ornatus,1018786
chrysichthys polli,chrysichthys polli,1011618
chrysichthys praecox,chrysichthys praecox,1384479
chrysichthys punctatus,chrysichthys punctatus,1019026
chrysichthys rueppelli,chrysichthys rueppelli,1018280
chrysichthys sharpii,chrysichthys sharpii,1018893
chrysichthys teugelsi,chrysichthys teugelsi,1007956
chrysichthys thonneri,chrysichthys thonneri,1017552
chrysichthys thysi,chrysichthys thysi,1011949
chrysichthys turkana,chrysichthys turkana,1008437
chrysichthys uniformis,chrysichthys uniformis,1016676
chrysichthys wagenaari,chrysichthys wagenaari,1019027
chrysichthys walkeri,chrysichthys walkeri,1019038
chthamalus proteus,chthamalus proteus,394878
cichla intermedia,cichla intermedia,1013126
cichla jariina,cichla jariina,1008934
cichla kelberi,cichla kelberi,1008929
cichla melaniae,cichla melaniae,1384377
cichla mirianae,cichla mirianae,1008931
cichla monoculus,cichla monoculus,1014783
cichla nigromaculata,cichla nigromaculata,1418550
cichla orinocensis,cichla orinocensis,1022807
cichla pinima,cichla pinima,1008935
cichla piquiti,cichla piquiti,1008932
cichla pleiozona,cichla pleiozona,1008930
cichla temensis,cichla temensis,1015785
cichla thyrorus,cichla thyrorus,1008933
cichla vazzoleri,cichla vazzoleri,1008936
cincelichthys bocourti,cincelichthys bocourti,1470220
cinetodus carinatus,cinetodus carinatus,1017444
cinetodus crassilabris,cinetodus crassilabris,1019818
cingula conica,no match,NA
cingula robusta,rissoa robusta,1482711
cingula turricula,setia turriculata,195910
cingula turricula,cingula turriculus,1484063
circomphalus disjectus,bassina disjecta,507388
circomphalus strigillinus,globivenus strigillina,507661
circulus cubanus,cyclostremiscus cubanus,419657
circulus dalli,cyclostremiscus dalli,419658
circulus hendersoni,cyclostremiscus hendersoni,591000
circulus margaritiformis,cirsonella margaritiformis,591066
circulus translucens,xyloskenea translucens,591070
cirrhinus inornatus,cirrhinus inornatus,1010592
cirrhinus macrops,cirrhinus mrigala,314143
cirrhinus microlepis,cirrhinus microlepis,1019851
cirrhinus molitorella,cirrhinus molitorella,1026709
cirrhinus mrigala,cirrhinus mrigala,314143
cirrhinus reba,cirrhinus reba,1026594
cirrhinus rubirostris,cirrhinus rubirostris,1010590
cirsonella kerguelenensis,cirsonella kerguelensis,766423
cirsotrema edgari,cirsotrema edgari,523716
citharichthys uhleri,citharichthys uhleri,422563
cladorhiza segonzaci,nullarbora segonzaci,1466639
clanculus atropurpureus,clanculus samoensis,854186
clarias agboyiensis,clarias agboyiensis,1012443
clarias albopunctatus,clarias albopunctatus,1014102
cirsotrema fenestratum,no match,NA
cirsotrema karinae,no match,NA
clarias alluaudi,clarias alluaudi,1017810
clarias anfractus,clarias anfractus,1010285
clarias angolensis,clarias angolensis,1013592
clarias anguillaris,clarias anguillaris,581700
clarias batu,clarias batu,1010334
clarias brachysoma,clarias brachysoma,1020967
clarias buettikoferi,clarias buettikoferi,1015119
clarias buthupogon,clarias buthupogon,1014338
clarias camerunensis,clarias camerunensis,1013591
clarias cavernicola,clarias cavernicola,1015147
clarias dayi,clarias dayi,1015130
clarias dhonti,clarias dhonti,1525695
clarias dumerilii,clarias dumerilii,1020860
clarias dussumieri,clarias dussumieri,1022293
clarias ebriensis,clarias ebriensis,1015027
clarias engelseni,clarias engelseni,1525538
clarias fuscus,clarias fuscus,1022031
clarias gabonensis,clarias gabonensis,1014734
clarias gariepinus,clarias gariepinus,888192
clarias hilli,clarias hilli,1383232
clarias insolitus,clarias insolitus,1009668
clarias intermedius,clarias intermedius,1009941
clarias jaensis,clarias jaensis,1012373
clarias kapuasensis,clarias kapuasensis,1009687
clarias laeviceps,clarias laeviceps,1013704
clarias lamottei,clarias lamottei,298302
clarias leiacanthus,clarias leiacanthus,1015503
clarias liocephalus,clarias liocephalus,1014639
clarias longior,clarias longior,1018281
clarias maclareni,clarias maclareni,1013683
clarias macromystax,clarias macromystax,1020670
clarias magur,clarias magur,314146
clarias meladerma,clarias meladerma,1021358
clarias microspilus,clarias microspilus,1007896
clarias microstomus,clarias microstomus,1010051
clarias nieuhofii,clarias nieuhofii,1018433
clarias nigricans,clarias nigricans,1009599
clarias nigromarmoratus,clarias nigromarmoratus,1013367
clarias olivaceus,clarias olivaceus,1470742
clarias pachynema,clarias pachynema,1017492
clarias planiceps,clarias planiceps,1010333
clarias platycephalus,clarias platycephalus,1018795
clarias pseudoleiacanthus,clarias pseudoleiacanthus,1009686
clarias pseudonieuhofii,clarias pseudonieuhofii,1009492
clarias salae,clarias salae,1019969
clarias serniosus,clarias serniosus,1007033
clarias stappersii,clarias stappersii,1017160
clarias submarginatus,clarias submarginatus,1019932
clarias sulcatus,clarias sulcatus,1009447
clarias teijsmanni,clarias teijsmanni,1021368
clarias theodorae,clarias theodorae,1017218
clarias werneri,clarias werneri,1018406
clathria echinata,clathria (microciona) echinata,167636
clathria fasciculata,clathria (thalysias) fasciculata,167734
clathria schoenus,clathria (thalysias) curacaoensis,765193
