taxonkey,taxon_name,common_name,descript,tax_level,worms_name
600076,Helicolenus dactylopterus dactylopterus,Blackbelly rosefish,bathydemersal 30 - 90 cm,6,helicolenus dactylopterus
600077,Istiophorus platypterus,Indo-Pacific sailfish,pelagic >=90 cm,6,istiophorus platypterus
600078,Istiophorus albicans,Atlantic sailfish,pelagic >=90 cm,6,istiophorus albicans
600083,Aphareus rutilans,Rusty jobfish,reef-associated >=90 cm,6,aphareus rutilans
600084,Aprion virescens,Green jobfish,reef-associated >=90 cm,6,aprion virescens
600088,Lamna nasus,Porbeagle,shark >=90 cm,6,lamna nasus
600089,Acanthocybium solandri,Wahoo,pelagic >=90 cm,6,acanthocybium solandri
600090,Cetorhinus maximus,Basking shark,shark >=90 cm,6,cetorhinus maximus
600093,Auxis rochei rochei,Bullet tuna,pelagic 30 - 90 cm,6,auxis rochei
600094,Auxis thazard thazard,Frigate tuna,pelagic 30 - 90 cm,6,auxis thazard
600096,Euthynnus affinis,Kawakawa,pelagic >=90 cm,6,euthynnus affinis
600097,Euthynnus alletteratus,Little tunny,pelagic >=90 cm,6,euthynnus alletteratus
600098,Euthynnus lineatus,Black skipjack,pelagic 30 - 90 cm,6,euthynnus lineatus
600101,Alosa alosa,Allis shad,pelagic 30 - 90 cm,6,alosa alosa
600105,Alosa immaculata,Pontic shad,pelagic 30 - 90 cm,6,alosa immaculata
600106,Gymnosarda unicolor,Dogtooth tuna,reef-associated >=90 cm,6,gymnosarda unicolor
