iucn_sid,T_min_a,T_min_p,T_max_p,T_max_a,n_cells,warning
196053,6.22039794921875,6.22039794921875,6.22039794921875,6.22039794921875,1,preference temp range too small!
196054,4.53205585479736,5.258569908142092,7.921633529663088,18.1305065155029,215,no worries
196055,2.14397192001343,2.14780683517456,11.771673011779809,13.9230432510376,10,no worries
196056,1.06619703769684,1.204859673976899,18.51818714141842,25.2498779296875,200,no worries
196057,4.06757879257202,6.21312189102173,19.254586219787598,21.7382755279541,1196,no worries
196058,1.15904998779297,1.413666629791258,17.843746185302788,29.0848026275635,623,no worries
196059,1.31900298595428,1.362323880195615,2.998918247222896,3.48922204971313,4,no worries
196060,2.34711909294128,3.147573208808895,17.787030029296872,20.6631393432617,100,no worries
196061,-0.128830000758171,2.946058988571165,8.20113754272461,9.90951538085938,546,no worries
196062,5.30442380905151,6.083820867538453,8.64209613800049,9.27713489532471,270,no worries
196063,26.8173828125,26.86090087890625,27.20904541015625,31.40904541015625,2,preference temp range too small!
196064,2.50949692726135,3.7656691789627055,25.322563362121617,29.522563362121616,210,no worries
196065,3.78156304359436,3.91331791877747,19.1455860137939,27.7998065948486,61,no worries
196066,1.6035829782486,2.114700758457186,16.134584426879872,18.4869174957275,4,no worries
196067,11.6982231140137,12.00908422470091,13.07824478149412,13.2812404632568,14,no worries
196068,3.56573605537415,3.657970547676085,26.709027290344252,30.909027290344252,26,no worries
196069,2.4188060760498,3.083404827117918,17.48857669830321,20.6994876861572,68,no worries
196071,11.5268745422363,11.828876686096159,17.3672485351563,17.5624389648438,7,no worries
196072,12.8594570159912,15.4471803665161,22.279934310913102,22.7757759094238,67,no worries
196074,9.32157421112061,10.9549503326416,18.07307128906254,19.5924167633057,507,no worries
196076,6.06835317611694,6.92947101593018,14.6057262420654,18.9509315490723,541,no worries
196078,3.8912410736084,3.9471880912780763,23.49891605377199,27.7139358520508,4,no worries
196079,1.18670201301575,1.212338995933532,16.3733106613159,22.1092872619629,62,no worries
196080,26.8173828125,26.94793701171875,27.42189159393312,31.621891593933118,4,preference temp range too small!
196081,5.09965419769287,5.642287540435792,10.789820766448994,11.5326318740845,4,no worries
196082,26.8173828125,26.8423490524292,27.619132041931152,31.81913204193115,6,preference temp range too small!
196083,19.8990631103516,19.943752288818402,21.2607870101929,21.5072574615479,6,no worries
196084,26.8173828125,26.83735580444336,27.40224380493166,31.60224380493166,5,preference temp range too small!
196085,1.24093997478485,1.4077405691146812,14.33221187591554,24.1410179138184,28,no worries
196086,3.90378308296204,3.91092705726624,20.6430759429932,22.185525894165,61,no worries
196087,25.5807228088379,25.5824718475342,26.7984457015991,30.9984457015991,6,no worries
196088,17.3146858215332,17.3499755859375,21.15293788909915,21.9608726501465,6,no worries
196090,1.5979460477829,2.152447044849395,6.000809192657471,6.25964784622192,6,no worries
196091,1.24093997478485,1.369001889228824,10.20899562835696,11.5410594940186,14,no worries
196307,24.32594871521,27.88821887969972,29.480017852783178,33.68001785278318,1022,no worries
196308,22.0661449432373,27.44705390930175,29.314890861511252,33.514890861511255,2656,no worries
196310,22.2735996246338,25.614317893981948,29.28477478027345,33.484774780273455,766,no worries
196318,18.9710807800293,25.48284034729004,29.31037902832032,33.51037902832032,4209,no worries
196319,22.7336273193359,26.30568161010742,29.40393829345704,33.60393829345704,3043,no worries
196440,27.6166839599609,27.652208900451626,27.936408424377472,32.13640842437747,2,preference temp range too small!
196441,24.32594871521,26.50764999389652,29.661122131347643,33.86112213134764,639,no worries
196445,27.1615619659424,28.101995468139638,29.510113143920897,33.7101131439209,1109,no worries
196673,22.9714393615723,23.40294075012204,25.47527618408204,29.67527618408204,137,no worries
196674,27.4196166992188,27.46641235351565,27.96061439514161,32.160614395141614,14,preference temp range too small!
196686,22.9714393615723,23.42073535919188,25.688926696777383,29.888926696777382,102,no worries
196687,23.3893241882324,23.680361175537083,25.34883766174318,29.54883766174318,29,no worries
196688,22.9714393615723,23.3224086761475,25.4811229705811,29.6811229705811,91,no worries
197086,-1.03990805149078,0.165481999516487,10.8866186141968,18.90380859375,4451,no worries
197087,10.3715877532959,14.7668619155884,27.27466106414795,31.47466106414795,806,no worries
198568,8.1950798034668,10.33588914871215,27.25709342956542,31.45709342956542,3624,no worries
198580,8.26991367340088,10.09010477066044,20.088702583312948,25.3570747375488,1890,no worries
198581,10.3715877532959,16.36497974395753,28.117859649658172,32.317859649658175,3054,no worries
198582,15.0186500549316,18.99278717041016,27.5519332885742,31.7519332885742,1559,no worries
198583,5.49011611938477,9.12538986206055,21.265213012695277,23.2532901763916,2589,no worries
198632,7.80432510375977,11.91090583801266,28.1564613342285,32.3564613342285,4183,no worries
198763,15.5843572616577,17.03156261444095,20.411068153381347,23.3317432403564,230,no worries
198764,7.04999589920044,9.447908306121825,21.26828823089599,23.3605537414551,1674,no worries
198765,8.53540325164795,10.28049488067626,21.30701789855956,25.7842407226563,2047,no worries
198766,16.6400623321533,18.62948303222658,22.31726722717284,23.3605537414551,963,no worries
198767,7.52167177200317,9.854375267028809,20.771575927734403,23.3605537414551,1973,no worries
198774,7.80432510375977,10.71008100509642,27.69765701293948,31.89765701293948,1434,no worries
198920,19.7009372711182,25.54358940124512,29.25723724365234,33.457237243652344,1319,no worries
198921,7.66136789321899,19.8982429504395,28.9386043548584,33.1386043548584,72721,no worries
199651,24.0857582092285,24.13170394897462,24.688451004028302,24.6925525665283,7,preference temp range too small!
199659,18.1714611053467,18.42834548950198,25.247496223449698,29.447496223449697,8,no worries
199671,27.4074077606201,27.844569396972638,29.32524337768552,33.52524337768552,329,no worries
199932,28.7796516418457,28.83326301574708,29.44809551239012,33.64809551239012,28,preference temp range too small!
201946,7.90216398239136,8.200960350036619,22.2653514862061,26.1766548156738,149,no worries
201947,8.24833011627197,10.34598598480224,25.076066970825224,29.276066970825223,99,no worries
201948,3.15220308303833,5.192762136459351,15.826743125915549,22.6935615539551,286,no worries
201996,28.5318260192871,28.5478136062622,28.84786663055418,33.04786663055418,24,preference temp range too small!
201997,28.215518951416,28.38359756469728,28.866029357910143,33.066029357910146,55,preference temp range too small!
201999,28.0409297943115,28.1444625854492,28.6337108612061,32.8337108612061,31,preference temp range too small!
202000,26.9710655212402,27.985761260986337,28.8178684234619,33.0178684234619,193,preference temp range too small!
