am_sciname,valid_name,aphia_id
cymodocea nodosa,cymodocea nodosa,145793
cyphoma macumba,cyphoma gibbosum,432297
cypraea arabica,mauritia arabica,216872
cypraea argus,arestorides argus,527787
cypraea asellus,palmadusta asellus,216882
cypraea beckii,naria beckii,1075005
cypraea bistrinotata,pustularia bistrinotata,527780
cypraea bouteti,lyncina leviathan bouteti,578034
cypraea caputserpentis,monetaria caputserpentis,570811
cypraea carneola,lyncina carneola,216866
cypraea caurica,erronea caurica,216861
cypraea cernica,naria cernica,1075009
cypraea cervus,macrocypraea cervus,419722
cypraea childreni,ipsa childreni,458729
cypraea chinensis,ovatipsa chinensis,530882
cypraea contaminata,palmadusta contaminata,216879
cypraea cylindrica,erronea cylindrica,529730
cypraea eglantina,mauritia eglantina,527783
cypraea erosa,naria erosa,1075042
cypraea errones,erronea errones,216859
cypraea fimbriata,purpuradusta fimbriata,390567
cypraea globulus,pustularia globulus,216888
cypraea helvola,naria helvola,1075035
cypraea isabella,luria isabella,216862
cypraea labrolineata,naria labrolineata,1079110
cypraea leviathan,lyncina leviathan,529741
cypraea limacina,staphylaea limacina,216892
cypraea mappa,leporicypraea mappa,396637
cypraea mariae,annepona mariae,529727
cypraea mauritiana,mauritia mauritiana,216868
cypraea moneta,monetaria moneta,216874
cypraea obvelata,monetaria obvelata,570809
cypraea onyx,erronea onyx,216860
cypraea ovum,erronea ovum,571212
cypraea lutea,no match,NA
cypraea pallidula,blasicrura pallidula,708938
cypraea poraria,naria poraria,1075025
cypraea punctata,ransoniella punctata,529722
cypraea pyriformis,erronea pyriformis,605561
cypraea pyriformis,naria turdus,1079151
cypraea quadrimaculata,eclogavena quadrimaculata,530904
cypraea schilderorum,lyncina schilderorum,578031
cypraea spadicea,neobernaya spadicea,580674
cypraea stolida,bistolida stolida,216739
cypraea teres,talostolida teres,580709
cypraea testudinaria,chelycypraea testudinaria,530893
cypraea ursellus,bistolida ursellus,530879
cypraea ventriculus,lyncina ventriculus,578038
cypraea walkeri,contradusta walkeri,530913
cypraea zebra,macrocypraea zebra,419723
dacrydium modioliforme,dacrydium albidum,197139
dactylopodola cornuta,dactylopodola cornuta,114574
dactylopodola mesotyphle,dactylopodola mesotyphle,265513
daphnella antillana,daphnella margaretae,420374
daphnella peripla,gymnobela chyta,139245
dasya rigidula,dasya rigidula,144722
dasybranchus caducus,dasybranchus caducus,129881
dasybranchus lumbricoides,dasybranchus lumbricoides,157322
dasybranchus lunulatus,dasybranchus lunulatus,157324
dawsonius latispina,dawsonius latispinus,421828
deima validum,deima validum validum,125223
delectopecten greenlandicus,similipecten greenlandicus,181299
delectopecten profundicola,hyalopecten profundicola,391809
delectopecten randolphi,delectopecten vancouverensis,391795
delisea pulchra,delisea pulchra,325495
delonovolva aequalis,simnia avena,478412
delphinus capensis,cephalorhynchus heavisidii,254978
delphinus capensis,delphinus delphis,137094
delphinus capensis,NA,NA
demonax microphthalmus,parasabella microphthalma,530927
dendostrea inaequivalvis,hyotissa numisma,216635
dendrodoris aurea,doriopsilla aurea,537036
dendrodoris denisoni,dendrodoris krusensternii,550448
dendrodoris gunnamatta,dendrodoris krusensternii,550448
dendropoma exsertum,dendropoma exsertum,419548
dendropoma irregulare,vermetus irregularis,732714
dendropoma maximum,ceraesignum maximum,766307
dendrostrea crenulifera,dendostrea sandvichensis,506713
dendrostrea folium,dendostrea folium,506716
dendya prolifera,levinella prolifera,164773
dentalina mutabilis,dentalina mutabilis,466100
dentalina mutabilis,dentalina mutabilis,912039
dentalina mutabilis,prodentalina jurensis,1432649
dentalium congoensis,dentalium congoense,225621
dentalium eupatrides,fissidentalium eupatrides,344142
dentalium exmouthensis,dentalium exmouthense,1327690
dentalium gouldii,paradentalium gouldii,344524
